,world_rank,university_name,rscores
643,601-800,Pontifical Catholic University of Paraná,19.2206050874
644,601-800,Pontifical Catholic University of Rio Grande do Sul (PUCRS),20.5670275684
645,601-800,Pontifical Catholic University of Valparaíso,14.6593978154
646,601-800,Prince of Songkla University,16.4120650597
647,601-800,Qatar University,21.4824221137
648,601-800,Rio de Janeiro State University (UERJ),14.8825967492
649,601-800,Rochester Institute of Technology,19.5333214219
650,601-800,Saitama University,17.5523926664
651,601-800,University of Salford,21.477374942
652,601-800,"University of Santiago, Chile (USACH)",15.3377467622
653,601-800,São Paulo State University (UNESP),19.5348750883
654,601-800,Savitribai Phule Pune University,20.5944537691
655,601-800,University of Science and Technology Beijing,19.5568371793
656,601-800,Sejong University,23.5599292383
657,601-800,University of Seoul,20.4398847148
658,601-800,Shahid Beheshti University,17.7767918653
659,601-800,Shanghai University,17.1902633261
660,601-800,Shantou University,19.3202583969
661,601-800,Sheffield Hallam University,17.9200218939
662,601-800,Sichuan University,21.1957893278
663,601-800,University of Silesia in Katowice,15.9247517987
664,601-800,Slovak University of Technology in Bratislava,20.2448483649
665,601-800,Sogang University,23.0532963104
666,601-800,Sophia University,13.8458142679
667,601-800,University of South Africa,14.5187336344
668,601-800,Southern Federal University,14.013429828
669,601-800,University of Southern Mississippi,18.1755012127
670,601-800,University of Southern Queensland,18.7708608591
671,601-800,Sultan Qaboos University,20.4679678126
672,601-800,Suranaree University of Technology,18.1558060072
673,601-800,University of Szeged,19.608694887
674,601-800,Taipei Medical University,22.7821938401
675,601-800,Taras Shevchenko National University of Kyiv,15.8254431602
676,601-800,Technical University of Madrid,22.0492660912
677,601-800,Tokai University,14.3230817814
678,601-800,Tokushima University,20.4460229202
679,601-800,Tokyo University of Marine Science and Technology,17.3974497052
680,601-800,Tokyo University of Science,22.4753509713
681,601-800,Tomsk State University,22.6441932412
682,601-800,Tottori University,15.0637329963
683,601-800,Toyohashi University of Technology,19.9367324183
684,601-800,Universiti Kebangsaan Malaysia,18.2999939914
685,601-800,Universiti Putra Malaysia,21.4334934354
686,601-800,Universiti Sains Malaysia,20.8630743001
687,601-800,Universiti Teknologi MARA,14.3007868025
688,601-800,Ural Federal University,17.8206294468
689,601-800,V.N. Karazin Kharkiv National University,14.0741640217
690,601-800,University of Vigo,21.3541367784
691,601-800,Vilnius University,21.6009452808
692,601-800,Warsaw University of Technology,23.3041714181
693,601-800,Waseda University,23.1456017595
694,601-800,University of West Bohemia,19.2655488377
695,601-800,University of the West of England,22.8533834845
696,601-800,University of Westminster,21.4272201716
697,601-800,Xidian University,14.5714806543
698,601-800,Yeungnam University,19.3105075679
699,601-800,Yıldız Technical University,14.5533780423
700,601-800,Yokohama National University,17.4032092322
701,601-800,Yuan Ze University,21.1757138641
