,Actors,Awards,Country,Director,Error,Genre,Language,Metascore,Plot,Poster,Rated,Released,Response,Runtime,Title,Type,Writer,Year,imdbID,imdbRating,imdbVotes
165,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke",Nominated for 4 Oscars. Another 8 wins & 17 nominations.,"UK, USA",Stanley Kubrick,,"Crime, Drama, Sci-Fi",English,78,"In future Britain, charismatic delinquent Alex DeLarge is jailed and volunteers for an experimental aversion therapy developed by the government in an effort to solve society's crime problem - but not all goes according to plan.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_SX300.jpg,R,02 Feb 1972,True,136 min,A Clockwork Orange,movie,"Stanley Kubrick (screenplay), Anthony Burgess (novel)",1971,tt0066921,8.3,"568,519"
166,"Dexter Fletcher, Cloe Mackie, Holly Mackie, Mark Harris",N/A,UK,John Mackie,,"Fantasy, Horror",English,N/A,"In Highgate London, five young teenagers hoping to witness Pagan activity, camp in historic Queen's Wood on Halloween but soon discover they are part of the ritual when a mysterious Biker hunts them down.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMDc2ODYxNl5BMl5BanBnXkFtZTgwOTI1NjkxMDE@._V1_SX300.jpg,NOT RATED,16 Feb 2015,True,90 min,The Coven,movie,Jayney Mackie (story by),2015,tt2123170,2.1,431
167,"Jimi Blue Ochsenknecht, Wilson Gonzalez Ochsenknecht, Sarah Kim Gries, Nick Romeo Reimann",2 nominations.,"Germany, Bahamas",Joachim Masannek,,"Comedy, Family, Sport","Dutch, German",N/A,N/A,http://ia.media-imdb.com/images/M/MV5BNTgwNjQ4MjI3M15BMl5BanBnXkFtZTcwODU1NDE2MQ@@._V1_SX300.jpg,N/A,01 Feb 2007,True,110 min,The Wild Guys 4,movie,Joachim Masannek (screenplay),2007,tt0811159,3.4,424
168,"Roland Amstutz, Michel Aumont, Marie-Armelle Deguy, Hubert Deschamps",N/A,France,"Olivier Bourbeillon, Manuel Boursinhac, Laurent Dussaux, Benoît Ferreux, Stéphan Holmes, Peter Winfield",,"Fantasy, Horror",French,N/A,"In the late 50's, a famous actress, Helen Page, mysteriously disappears.",http://ia.media-imdb.com/images/M/MV5BNjhiN2RmYjctOTYwYy00OTRjLWE0YzYtOGM5NzA3OWY2M2VlXkEyXkFqcGdeQXVyNjM3MDIwNjc@._V1_SX300.jpg,N/A,08 Jun 1988,True,90 min,La septième dimension,movie,N/A,1988,tt0217039,2.1,8
169,"Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio",Won 1 Oscar. Another 2 wins & 9 nominations.,USA,Stuart Rosenberg,,Drama,English,N/A,"Luke Jackson is a cool, gutsy prisoner in a Southern chain gang, who, while refusing to buckle under to authority, keeps escaping and being recaptured. The prisoners admire Luke because, as Dragline explains it, ""You're an original, that's what you are!"" Nevertheless, the camp staff actively works to crush Luke until he finally breaks.",https://images-na.ssl-images-amazon.com/images/M/MV5BOWFlNzZhYmYtYTI5YS00MDQyLWIyNTUtNTRjMWUwNTEzNjA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,PG,01 Nov 1967,True,126 min,Cool Hand Luke,movie,"Donn Pearce (screenplay), Frank Pierson (screenplay), Donn Pearce (novel)",1967,tt0061512,8.2,"121,602"
170,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy, Carl Benton Reid",1 win.,USA,Nicholas Ray,,"Drama, Film-Noir, Mystery",English,N/A,"Screenwriter Dixon Steele, faced with the odious task of scripting a trashy bestseller, has hat-check girl Mildred Atkinson tell him the story in her own words. Later that night, Mildred is murdered and Steele is a prime suspect; his record of belligerence when angry and his macabre sense of humor tell against him. Fortunately, lovely neighbor Laurel Gray gives him an alibi. Laurel proves to be just what Steele needed, and their friendship ripens into love. Will suspicion, doubt, and Steele's inner demons come between them?",https://images-na.ssl-images-amazon.com/images/M/MV5BZTcxYTZhMDctZWVlZi00YjM3LWI1ZTEtMzRmMGM1NjJmMDYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,APPROVED,17 May 1950,True,94 min,In a Lonely Place,movie,"Andrew Solt (screenplay), Edmund H. North (adaptation), Dorothy B. Hughes (story)",1950,tt0042593,8.0,"17,227"
171,"Giulietta Masina, François Périer, Franca Marzi, Dorian Gray",Won 1 Oscar. Another 15 wins & 6 nominations.,"Italy, France",Federico Fellini,,Drama,Italian,N/A,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwODQxMDg5OV5BMl5BanBnXkFtZTgwNjczMzkwMzE@._V1_SX300.jpg,NOT RATED,16 Oct 1957,True,110 min,Nights of Cabiria,movie,"Maria Molinari (novel), Federico Fellini (story), Ennio Flaiano (story), Tullio Pinelli (story), Federico Fellini (screenplay), Ennio Flaiano (screenplay), Tullio Pinelli (screenplay), Pier Paolo Pasolini (screenplay)",1957,tt0050783,8.2,"26,589"
172,"Christina DeMarco, Greg Robbins, Laura Romeo, Hugh McLean",N/A,USA,Greg Robbins,,"Drama, Thriller",English,N/A,A drama centered on a teenage girl who has trained her entire life to dance for the Pittsburgh Ballet.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDUyMjA2Ml5BMl5BanBnXkFtZTcwMTkwOTM0Mg@@._V1_SX300.jpg,PG,03 Apr 2009,True,89 min,C Me Dance,movie,"Greg Robbins (creator), Greg Robbins",2009,tt1314645,1.4,318
173,"Carl Miller, Edna Purviance, Jackie Coogan, Charles Chaplin",1 win.,USA,Charles Chaplin,,"Comedy, Drama, Family",English,N/A,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjE4MWM3MDctOTk2NC00MTUwLTg2OTUtYjg5YWU3MzRmYTg0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,NOT RATED,06 Feb 1921,True,68 min,The Kid,movie,Charles Chaplin,1921,tt0012349,8.3,"68,817"
174,"Jackie Chan, Owen Wilson, Lucy Liu, Brandon Merrill",1 win & 7 nominations.,"USA, Hong Kong",Tom Dey,,"Action, Adventure, Comedy","English, Mandarin, Sioux, Spanish",77,"A Chinese man who travels to the Wild West to rescue a kidnapped princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0MjE2MzUwOV5BMl5BanBnXkFtZTYwMTk5NjU3._V1_SX300.jpg,PG-13,26 May 2000,True,110 min,Shanghai Noon,movie,"Miles Millar, Alfred Gough",2000,tt0184894,6.6,"97,762"
175,"Haile Gebrsellasie, Shawananness Gebrselassie, Yonas Zergaw, Tedesse Haile",N/A,"USA, UK, Germany","Leslie Woodhead, Bud Greenspan",,"Biography, Drama, Sport",English,N/A,"The gold medal for the men's 10,000-metre race in the 1996 Atlanta Olympics is won by Ethiopian Haile Gebrselassie.",http://ia.media-imdb.com/images/M/MV5BMTUxMTQzNDk5Nl5BMl5BanBnXkFtZTcwNjEzNzgxMQ@@._V1_SX300.jpg,PG,14 May 1999,True,83 min,Endurance,movie,N/A,1999,tt0120659,6.3,325
176,"Subrat Dutta, Ferdous Ahmed, Nilanjana Sharma, Dipankar Dey",N/A,India,Subrata Sen,,"Drama, Fantasy, Mystery",Bengali,N/A,N/A,N/A,N/A,N/A,True,119 min,Swapner Feriwala,movie,"Subrata Sen (screenplay), Subrata Sen (story)",2002,tt0330954,7.5,13
177,"Sheng Fei, Deyan Ganetsovski, Angel Georgiev, Juliana Ilieva",N/A,Bulgaria,"Rosen Andonov, Sheng Fei",,"Documentary, Biography, Drama",Bulgarian,N/A,"A philosopher, a gang of ferocious street fighters, and a formidable lightweight boxing champion all try their skills against a tai chi master, who with wit, serenity and lightning-fast speed defeats them all.",http://ia.media-imdb.com/images/M/MV5BMjE1OTg5OTkwN15BMl5BanBnXkFtZTgwMzU2MTk4NTE@._V1_SX300.jpg,N/A,11 Oct 2014,True,63 min,Tai Chi,movie,N/A,2014,tt4111334,N/A,N/A
178,"Achille Brugnini, Lou Castel, Matteo Corsini, Paolo De Falco",1 nomination.,Italy,Gabriella Rosaleva,,N/A,Italian,N/A,N/A,N/A,N/A,01 Aug 1990,True,88 min,La sposa di San Paolo,movie,"Rina Durante (story), Antonella Grassi (screenplay), Gabriella Rosaleva (screenplay)",1990,tt0208480,6.4,5
179,"Brad Pitt, Catherine Zeta-Jones, Michelle Pfeiffer, Joseph Fiennes",8 nominations.,USA,"Patrick Gilmore, Tim Johnson",,"Animation, Adventure, Comedy","English, Cantonese, Italian",48,"A Persian sailor named Sinbad is on a quest to find the magical legendary Book of Peace, a mysterious artifact that Eris, the Greek wicked goddess of chaos, has ultimately framed him for stealing! If he fails on this quest, his childhood friend Prince Proteus of Syracuse will take Sindbad's death penalty, while Eris gains a desired foothold of power in the world of mortals.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1ODc3NTA0Ml5BMl5BanBnXkFtZTcwMTEwMDAwMQ@@._V1_SX300.jpg,PG,02 Jul 2003,True,86 min,Sinbad: Legend of the Seven Seas,movie,John Logan (screenplay),2003,tt0165982,6.7,"36,612"
180,"Armando Silvestre, Maribel Guardia, Narciso Busquets, Eduardo Yáñez",N/A,Mexico,Alfredo Gurrola,,"Action, Adventure, Crime",Spanish,N/A,N/A,http://ia.media-imdb.com/images/M/MV5BYjE4MzMwNTEtNzk1NS00M2RhLWFiNWUtNTAwMzhlM2JhZWQ2XkEyXkFqcGdeQXVyNjc2ODQ1OTM@._V1_SX300.jpg,N/A,02 May 1985,True,90 min,Contrato con la muerte,movie,"Jesús Fragoso Montoya (story), Tomás Fuentes",1985,tt0231391,4.2,5
181,"Richard Epcar, David Llewellyn, Donal O'Sullivan, Lawrence Ross",N/A,USA,Richard Rich,,"Animation, Biography, Drama","English, French, Arabic",47,An account of the birth of Islam.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDRmYWRmNjctMmFkMy00MmE0LWE1ZTEtOWI5ZTY3OWU3MDBlXkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_SX300.jpg,N/A,14 Nov 2004,True,95 min,Muhammad: The Last Prophet,movie,Brian Nissen,2002,tt0430377,7.8,915
182,N/A,N/A,South Korea,Heon-myeong Han,,"Animation, Action",Korean,N/A,"A young boy, whose father, Blue Thunder, was murdered by the villainous ""Black Mantis."" After Black Mantis kills his father and steals the family fighting style, Blue Thunder's son takes on the name ""Thunder Prince"" and vows revenge.",N/A,N/A,21 Dec 1982,True,70 min,Thunder Prince,movie,N/A,1982,tt1989523,4.9,21
183,"Edmund Purdom, Gianna Maria Canale, John Drew Barrymore, Jany Clair",N/A,"Italy, France",Pierre Chenal,,"Biography, Drama, History",Italian,N/A,"During the last days of Imperial Russia, Rasputin (Edmund Purdom) cures the Czar's daughter and endears himself to the royal family, but he is persecuted by envious and conniving officials who seek his ruin. A young prince (John Drew Barrymore) is given the task of murdering Rasputin, but the conspiracy fails. However, they continue trying to kill him, but he keeps escaping - as if the claims he was a saint were true... However, his manners with the women, noble or not, were certainly not what one would expect from a Christian saint.",http://ia.media-imdb.com/images/M/MV5BMTkwNDMwNTI5NV5BMl5BanBnXkFtZTgwNTA5ODk1MDE@._V1_SX300.jpg,N/A,01 Oct 1962,True,87 min,The Night They Killed Rasputin,movie,"Pierre Chenal, Ugo Liberatore, André Tabet",1960,tt0122195,5.4,27
184,"Frankie Chan, Hsiu-Ling Lu, Kitty Chan, Charlie Cho",N/A,Hong Kong,"Frankie Chan, Norman Law Man",,Comedy,Cantonese,N/A,N/A,N/A,N/A,N/A,True,105 min,Wo yao jin gui xu,movie,Kar-wai Wong,1986,tt0092233,5.1,8
185,"Matt Damon, Franka Potente, Brian Cox, Julia Stiles",5 wins & 21 nominations.,"USA, Germany",Paul Greengrass,,"Action, Mystery, Thriller","English, Russian, German, Italian",73,"After escaping from the emotional and physical pain he previously encountered. Jason Bourne and his girlfriend Marie begin a new life as far away as possible. But when an assassination attempt on Bourne goes horribly wrong, Bourne must re-enter the life he wanted to leave behind, in order to find out the truth why they are still after him.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAxODk0MjEyMjZeQTJeQWpwZ15BbWU2MDgzMzExNw@@._V1_SX300.jpg,PG-13,23 Jul 2004,True,108 min,The Bourne Supremacy,movie,"Robert Ludlum (novel), Tony Gilroy (screenplay)",2004,tt0372183,7.8,"354,200"
186,"Nana Patekar, Medha Manjrekar, Mrinmayee Deshpande, Sunil Barve",N/A,India,Mahesh Manjrekar,,"Drama, Family","Marathi, Marathi",N/A,"The film is a tragedy about a veteran theatre actor named Ganpat ""Appa"" Belwalkar (Nana Patekar) who has been the best of his lot during his heyday, garnering fame and fortune acting in plays based on various works, especially William Shakespeare's. It is a tragedy of a veteran actor who enjoyed a very vital importance in his life but who becomes the victim of old age alienation and astrangement. The film reveals an intensely tragic fate of an actor who becomes victim of fate and fortune in old age, which is similar to the fate of Lear. Natsamrat suffers the pangs of old age and dishonor inflicted on him by his own children. It is a tragedy of great humanist and actor who succumbs to the ill fate and destiny. In fact, Natsamrat is a story of Ganpatrao Belvalkar, who withstands great suffering after his retirement from stage acting.",https://images-na.ssl-images-amazon.com/images/M/MV5BYjkzZWIyZTctN2U3Ny00MDZlLTkzZTYtMTI2MWI5YTFiZWZkXkEyXkFqcGdeQXVyNTM2NTg3Nzg@._V1_SX300.jpg,N/A,01 Jan 2016,True,166 min,Natsamrat,movie,"Abhijeet Deshpande, Kiran Yadnyopavit",2016,tt5311546,9.4,"2,854"
187,"Tom Sellwood, Krista Welter, Greg Salomone, Clio Berney",N/A,USA,Rick Dunbar,,"Comedy, Sci-Fi",English,N/A,"While on an emergency medical mission, a starship is attacked by a tiny alien spaceship whose bark is worse than its bite. It's not easy in outer space to negotiate with an under-sized foe through an over-sexed telepath. Proof that size doesn't matter.",http://ia.media-imdb.com/images/M/MV5BMTg2NzQ2NDk5NV5BMl5BanBnXkFtZTcwNjk2MDAwMQ@@._V1_SX300.jpg,N/A,28 Apr 2003,True,85 min,Space Specks,movie,Rick Dunbar,2003,tt0362169,6.9,15
188,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",Won 2 Oscars. Another 54 wins & 143 nominations.,USA,Quentin Tarantino,,"Drama, Western","English, German, French, Italian",81,"Former dentist, Dr. King Schultz, buys the freedom of a slave, Django, and trains him with the intent to make him his deputy bounty hunter. Instead, he is led to the site of Django's wife who is under the hands of Calvin Candie, a ruthless plantation owner.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg,R,25 Dec 2012,True,165 min,Django Unchained,movie,Quentin Tarantino,2012,tt1853728,8.5,"974,714"
189,"Jason Segel, Amy Adams, Chris Cooper, Rashida Jones",Won 1 Oscar. Another 15 wins & 41 nominations.,USA,James Bobin,,"Adventure, Comedy, Family",English,75,A Muppet fanatic with some help from his two human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MTM4NTc3NF5BMl5BanBnXkFtZTcwMjYzOTIxNg@@._V1_SX300.jpg,PG,23 Nov 2011,True,103 min,The Muppets,movie,"Jason Segel, Nicholas Stoller, Jim Henson (based on)",2011,tt1204342,7.1,"75,636"
190,"Jason Mireau, Delia Tatiana, Moishe Teichman, Sibel Thrasher",N/A,Canada,Gordon Stanfield,,"Crime, Thriller",English,N/A,Two fraternal twin sisters learn a family secret while a young man plots a revenge trap in the shadows of a down town gospel mission.,http://ia.media-imdb.com/images/M/MV5BMTExOTcxODg4ODheQTJeQWpwZ15BbWU4MDI3MjMwMTQx._V1_SX300.jpg,N/A,N/A,True,91 min,Sinsters,movie,N/A,2015,tt4357610,N/A,N/A
191,"Michael Gwynn, Christian De Bresson, Almut Eggert, Margaret Jahnen",5 wins & 1 nomination.,"USA, West Germany",Stuart Rosenberg,,"Biography, Drama, History",English,N/A,"Suspenseful story of a boy and his father, each forced to decide his future on his willingness to stand up for what he believes.",http://ia.media-imdb.com/images/M/MV5BMTc5MDA5MDU5MV5BMl5BanBnXkFtZTgwOTczMjkwMzE@._V1_SX300.jpg,N/A,16 Oct 1961,True,106 min,Question 7,movie,Allan Sloane (screenplay),1961,tt0055349,7.1,50
192,"David Heavener, Monique Parent, Joe Estevez, Sean Dillingham",N/A,USA,"Guy Crawford, Yvette Hoffman",,"Horror, Sport",English,N/A,"In Taft, California, 1981, Johnny (Fred Meyers) is a unassuming baseball hopeful who turned against his stern and demanding father (Joe Estevez) and beat him to death with a baseball bat on a baseball diamond field. 17 years later, Johnny is released from the local insane asylum and begins a killing spree, with his father's ghost as an umpire.",N/A,NOT RATED,N/A,True,77 min,The Catcher,movie,N/A,1998,tt0191869,3.1,145
193,"Milos Bikovic, Petar Strugar, Nina Jankovic, Danina Jeftic",1 win & 2 nominations.,Serbia,Dragan Bjelogrlic,,"Adventure, Comedy, Drama","Serbian, Bulgarian, French",N/A,"A story about one team that decides to follow a dream that takes them on a journey to the First World Football Championship in Montevideo, Uruguay in 1930. A dream that allows them to become true stars and living legends.",http://ia.media-imdb.com/images/M/MV5BZjBkMGRmZjUtOTE2ZC00YzMzLTkyNGItYmRiYTMwNDFjNWE1XkEyXkFqcGdeQXVyMzgyNTQwMzY@._V1_SX300.jpg,N/A,20 Dec 2010,True,140 min,Montevideo: Taste of a Dream,movie,"Ranko Bozic, Srdjan Dragojevic, Vladimir Stankovic (novel)",2010,tt1634013,8.4,"9,160"
194,"Anita Louise, Lloyd Corrigan, Michael Duane, Mark Roberts",N/A,USA,John Sturges,,"Crime, Drama, Film-Noir",English,N/A,"Fred J. Johnson (Lloyd Corrigan) scores a hole-in-one but his next drive, using the lucky, initialed golf ball, soars out of bounds and lands near a spot where some counterfeiters are ...",N/A,APPROVED,26 Sep 1946,True,70 min,Shadowed,movie,"Brenda Weisberg (screenplay), Julian Harmon (story)",1946,tt0038928,6.2,33
195,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods",Nominated for 1 Oscar. Another 3 wins & 9 nominations.,"USA, France",Martin Scorsese,,"Biography, Crime, Drama",English,73,"Greed, deception, money, power, and murder occur between two best friends, a mafia underboss and a casino owner, for a trophy wife over a gambling empire.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,R,22 Nov 1995,True,178 min,Casino,movie,"Nicholas Pileggi (book), Nicholas Pileggi (screenplay), Martin Scorsese (screenplay)",1995,tt0112641,8.2,"339,327"
196,"Mario Almada, Blanca Guerra, Eric del Castillo, Rodrigo Puebla",N/A,Mexico,Alfredo Gurrola,,"Western, Drama","Spanish, English",N/A,N/A,N/A,N/A,03 Aug 1989,True,82 min,Cabalgando con la muerte,movie,"Andre R. Guttfreund (screenplay), Jorge Patiño",1989,tt0217300,5.7,10
197,"Suleiman Aleskerov, Shafiga Mammadova, Mukhtar Maniyev",N/A,"Azerbaijan, Soviet Union",N/A,,"Comedy, Drama, War",Azerbaijani,N/A,N/A,N/A,N/A,N/A,True,73 min,Bizim Jabish Muallim,movie,N/A,1969,tt4263882,N/A,N/A
198,"Johnny Depp, Paul Ritter, John Malkovich, Stanley Townsend",2 wins & 8 nominations.,"UK, Australia",Laurence Dunmore,,"Drama, Romance",English,44,"In 1660, with the return of Charles II to the English throne, theater, the visual arts, science and sexual promiscuity flourish. Thirteen years later, in the midst of political and economical problems, Charles II asks for the return of his friend John Wilmot, aka the second Earl of Rochester, from exile back to London. John is a morally-corrupt drunkard and a sexually- active cynical poet. When the King asks John to prepare a play for the French ambassador so as to please him, John meets the aspiring actress Elizabeth Barry in the playhouse and decides to make her into a great star. He falls in love with her and she becomes his mistress. During the presentation to the Frenchman, he falls into disgrace with the court. When he was thirty-three years old and dying of syphilis and alcoholism, he converts to being a religious man.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5MTQ4ODQzNl5BMl5BanBnXkFtZTYwMDIxNTQ3._V1_SX300.jpg,R,10 Mar 2006,True,114 min,The Libertine,movie,"Stephen Jeffreys (screenplay), Stephen Jeffreys (play)",2004,tt0375920,6.4,"31,567"
199,"Freydís Kristófersdóttir, Kristjana Júlía Þorsteins, Guðlaug Bjarnadóttir, Ívar Örn Sverrisson",N/A,Iceland,N/A,,"Drama, Family, Romance",Icelandic,N/A,"'The Journey' is the story of a young Icelandic girl named Kaja. A rebellious misfit, she is sent to summer camp by her frustrated parents. Set in the rural landscape of Iceland, she faces ...",N/A,N/A,01 Oct 2002,True,N/A,Ferðin,movie,N/A,2002,tt0317489,2.7,10
200,"Dawn Wells, Dana Plato, David Sobiesk, Marcus Claudel",N/A,USA,Tom Moore,,"Adventure, Drama, Family",English,N/A,"Two men travel deep into the woods to search for a Bigfoot-like creature called ""Big Bay-Ty"" which has recently been sighted near Boggy Creek. Three children secretly follow. Little do they know a hurricane is about to commence.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzc1NTgxMzk3NV5BMl5BanBnXkFtZTcwMTgyNzYyMQ@@._V1_SX300.jpg,PG,N/A,True,85 min,Return to Boggy Creek,movie,John David Woody,1977,tt0078159,2.2,444
201,"Harry Dean Stanton, Sam Berry, Bernhard Wicki, Dean Stockwell",Nominated for 1 Golden Globe. Another 16 wins & 8 nominations.,"West Germany, France, UK",Wim Wenders,,Drama,English,N/A,"A man wanders out of the desert after a four year absence. His brother finds him, and together they return to L.A. to reunite the man with his young son. Soon after, he and the boy set out to locate the mother of the child, who left shortly after the man disappeared.",https://images-na.ssl-images-amazon.com/images/M/MV5BM2RjMmU3ZWItYzBlMy00ZmJkLWE5YzgtNTVkODdhOWM3NGZhXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_SX300.jpg,R,19 Sep 1984,True,147 min,"Paris, Texas",movie,"L.M. Kit Carson (adaptation), Sam Shepard",1984,tt0087884,8.1,"50,636"
202,"Shammi Kapoor, Asha Parekh, Sulochana Latkar, Raj Mehra",N/A,India,Nasir Hussain,,"Musical, Romance",Hindi,N/A,"Neeta is a heiress, the only daughter of U.K. based Industrialist, Jagat Narayan. She is of marriageable age, and is presently wooed by Kailash, Chandra, and Raja. She prefers Chandra over Kailash and Raja, but subsequently changes her mind and falls in love with Raja. Things take a dramatic turn when Jagat and Neeta find out that Raja is not who is claims he is. When Raja defends himself, and calls himself Roop, his very own mother denies this claim, and instead states that Chandra is Roop, her only son. Raja alias Roop must now make attempts to prove himself, and realizes that this is indeed an uphill task.",N/A,N/A,N/A,True,187 min,Dil Deke Dekho,movie,Nasir Hussain,1959,tt0230141,7.5,82
203,"Aleksei Dikij, Evgeniy Samoylov, Vladimir Vladislavskiy, Vsevolod Pudovkin",2 wins & 1 nomination.,Soviet Union,Vsevolod Pudovkin,,Drama,Russian,N/A,N/A,N/A,N/A,N/A,True,89 min,Admiral Nakhimov,movie,Igor Lukovskiy,1947,tt0039132,7.6,57
204,"Eric Balfour, Lou Taylor Pucci, Henry Thomas, Jenna Dewan Tatum",N/A,USA,Tanner Beard,,"Action, Adventure, History",English,N/A,"The story of how 'Hell's Gate' at Possum Kingdom Lake, Texas came to have its name. Relive the story of how three outlaws' expeditions and encounters through historical 1870s Texas were remembered for a lifetime.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzNjU0NjQyN15BMl5BanBnXkFtZTcwMTk3NTY2Nw@@._V1_SX300.jpg,PG-13,01 Mar 2011,True,108 min,The Legend of Hell's Gate: An American Conspiracy,movie,Tanner Beard,2011,tt1220217,4.5,587
205,"Ingrid Bergman, Tullio Carminati, Giacinto Prandelli, Augusto Romani",N/A,"Italy, France",Roberto Rossellini,,"Biography, Drama, History",Italian,N/A,N/A,http://ia.media-imdb.com/images/M/MV5BMTg4NDc1NjMzMV5BMl5BanBnXkFtZTcwOTM0NDAwMQ@@._V1_SX300.jpg,N/A,N/A,True,80 min,Giovanna d'Arco al rogo,movie,"Paul Claudel (libretto), Roberto Rossellini",1954,tt0047026,6.0,184
206,"Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp",4 wins & 4 nominations.,Germany,Fritz Lang,,"Drama, Sci-Fi",German,98,"Sometime in the future, the city of Metropolis is home to a Utopian society where its wealthy residents live a carefree life. One of those is Freder Fredersen. One day, he spots a beautiful woman with a group of children, she and the children who quickly disappear. Trying to follow her, he, oblivious to such, is horrified to find an underground world of workers, apparently who run the machinery which keeps the above ground Utopian world functioning. One of the few people above ground who knows about the world below is Freder's father, Joh Fredersen, who is the founder and master of Metropolis. Freder learns that the woman is Maria, who espouses the need to join the ""hands"" - the workers - to the ""head"" - those in power above - by a mediator or the ""heart"". Freder wants to help the plight of the workers in the want for a better life. But when Joh learns of what Maria is espousing and that Freder is joining their cause, Joh, with the assistance of an old colleague and now nemesis named Rotwang, an inventor, works toward quashing a supposed uprising, with Maria as the center of their plan. However, Joh is unaware that Rotwang has his own agenda. But if any of these plans includes the shut down of the machines, total anarchy could break loose both above ground and below.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDAzNTkyODg1MF5BMl5BanBnXkFtZTgwMDA3NDkwMDE@._V1_SX300.jpg,NOT RATED,13 Mar 1927,True,153 min,Metropolis,movie,"Thea von Harbou (screenplay), Thea von Harbou (novel)",1927,tt0017136,8.3,"113,363"
207,"Carlos Alazraqui, Lombardo Boyar, Jeffrey Garcia, Johnny A. Sanchez",Won 1 Oscar. Another 18 wins & 24 nominations.,"USA, Australia","George Miller, Warren Coleman, Judy Morris",,"Animation, Comedy, Family",English,77,"This is the story of a little penguin named Mumble who has a terrible singing voice and later discovers he has no Heartsong. However, Mumble has an astute talent for something that none of the penguins had ever seen before: tap dancing. Though Mumble's mom, Norma Jean, thinks this little habit is cute, his dad, Memphis, says it ""just ain't penguin."" Besides, they both know that, without a Heartsong, Mumble may never find true love. As fate would have it, his one friend, Gloria, happens to be the best singer around. Mumble and Gloria have a connection from the moment they hatch, but she struggles with his strange ""hippity- hoppity"" ways. Mumble is just too different--especially for Noah the Elder, the stern leader of Emperor Land, who ultimately casts him out of the community. Away from home for the first time, Mumble meets a posse of decidedly un-Emperor-like penguins--the Adelie Amigos. Led by Ramon, the Adelies instantly embrace Mumble's cool dance moves and invite him to party with them. In Adelie Land, Mumble seeks the counsel of Lovelace the Guru, a crazy-feathered Rockhopper penguin who will answer any of life's questions for the price of a pebble. Together with Lovelace and the Amigos, Mumble sets out across vast landscapes and, after some epic encounters, proves that by being true to yourself, you can make all the difference in the world.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNTkxMjUwMV5BMl5BanBnXkFtZTcwMDQ2NTU0MQ@@._V1_SX300.jpg,PG,17 Nov 2006,True,108 min,Happy Feet,movie,"George Miller, John Collee, Judy Morris, Warren Coleman",2006,tt0366548,6.5,"134,084"
