,artist.inverted,track,track_length_seconds,genre_clean,date_entered,date_peaked,season,weeks_to_peak,weeks_on_billboard,rank_entered,highest_rank,ranks_climbed,last_rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,reached_top_10
65,Red Hot Chili Peppers,Otherside,253,Rock,2000-02-12,2000-05-27,Winter,15.0,22,80,14.0,66.0,45.0,80,72.0,65.0,52.0,51.0,49.0,40.0,37.0,32.0,29.0,29.0,29.0,29.0,24.0,18.0,14.0,15.0,16.0,19.0,22.0,29.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
66,Profyle,Liar,237,Others,2000-09-16,2000-10-28,Fall,6.0,20,52,14.0,38.0,99.0,52,32.0,25.0,17.0,16.0,16.0,14.0,19.0,24.0,33.0,35.0,43.0,54.0,61.0,69.0,75.0,86.0,81.0,94.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
67,Barenaked Ladies,Pinch Me,226,Rock,2000-09-09,2000-11-25,Fall,11.0,21,77,15.0,62.0,44.0,77,76.0,69.0,45.0,51.0,37.0,33.0,29.0,26.0,25.0,16.0,15.0,15.0,19.0,19.0,20.0,22.0,20.0,21.0,34.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
68,Jagged Edge,He Can't Love U,210,Rock,1999-12-11,2000-01-08,Winter,4.0,20,54,15.0,39.0,77.0,54,32.0,17.0,17.0,15.0,18.0,18.0,18.0,18.0,25.0,24.0,24.0,26.0,33.0,44.0,51.0,53.0,65.0,69.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
69,504 Boyz,Wobble Wobble,215,Rap,2000-04-15,2000-05-06,Spring,3.0,18,57,17.0,40.0,96.0,57,34.0,25.0,17.0,17.0,31.0,36.0,49.0,53.0,57.0,64.0,70.0,75.0,76.0,78.0,85.0,92.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
70,Sting,Desert Rose,232,Rock,2000-05-13,2000-08-26,Spring,15.0,26,98,17.0,81.0,49.0,98,88.0,72.0,59.0,55.0,52.0,45.0,35.0,24.0,21.0,19.0,19.0,19.0,19.0,18.0,17.0,19.0,19.0,24.0,26.0,30.0,32.0,42.0,45.0,42.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
71,Jay-Z,Big Pimpin',235,Rap,2000-04-22,2000-07-08,Spring,11.0,20,69,18.0,51.0,50.0,69,52.0,39.0,33.0,28.0,25.0,25.0,23.0,20.0,19.0,21.0,18.0,20.0,20.0,26.0,29.0,35.0,33.0,41.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
72,Kid Rock,Only God Knows Why,327,Rock,2000-02-19,2000-04-15,Winter,8.0,20,63,19.0,44.0,78.0,63,47.0,46.0,39.0,35.0,26.0,26.0,23.0,19.0,19.0,21.0,25.0,25.0,29.0,32.0,44.0,52.0,62.0,69.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
73,Foo Fighters,Learn To Fly,235,Rock,1999-10-16,2000-01-22,Fall,14.0,21,80,19.0,61.0,50.0,80,69.0,68.0,63.0,60.0,52.0,42.0,32.0,30.0,25.0,22.0,22.0,26.0,20.0,19.0,20.0,26.0,30.0,35.0,42.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
74,"Dixie Chicks, The",Goodbye Earl,259,Country,2000-03-18,2000-05-06,Spring,7.0,15,40,19.0,21.0,98.0,40,29.0,24.0,24.0,20.0,20.0,20.0,19.0,38.0,61.0,86.0,88.0,96.0,96.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
75,Guy,Dancin',248,Others,1999-12-18,2000-01-01,Winter,2.0,11,46,19.0,27.0,94.0,46,29.0,19.0,22.0,36.0,44.0,58.0,58.0,68.0,75.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
76,Lil Bow Wow,Bounce With Me,202,Rap,2000-08-19,2000-09-16,Summer,4.0,20,48,20.0,28.0,100.0,48,35.0,24.0,24.0,20.0,20.0,20.0,20.0,22.0,27.0,27.0,36.0,40.0,53.0,61.0,69.0,80.0,90.0,99.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
77,Westlife,Swear It Again,247,Rock,2000-04-01,2000-07-01,Spring,13.0,20,96,20.0,76.0,56.0,96,82.0,66.0,55.0,55.0,46.0,44.0,44.0,37.0,35.0,32.0,25.0,21.0,20.0,20.0,25.0,30.0,33.0,45.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
78,Train,Meet Virginia,235,Rock,1999-10-09,2000-01-22,Fall,15.0,27,76,20.0,56.0,50.0,76,67.0,59.0,54.0,48.0,45.0,40.0,32.0,26.0,24.0,22.0,21.0,21.0,24.0,21.0,20.0,21.0,24.0,28.0,30.0,32.0,37.0,37.0,42.0,46.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
79,"Thomas, Carl",I Wish,230,Rock,2000-03-25,2000-05-13,Spring,7.0,20,75,20.0,55.0,67.0,75,64.0,48.0,39.0,32.0,28.0,24.0,20.0,22.0,21.0,22.0,26.0,23.0,24.0,27.0,28.0,42.0,44.0,52.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
80,Hanson,This Time Around,254,Country,2000-04-22,2000-05-06,Spring,2.0,7,22,20.0,2.0,95.0,22,22.0,20.0,45.0,87.0,71.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
81,"Simpson, Jessica",I Think I'm In Love With You,212,Others,2000-07-01,2000-08-12,Summer,6.0,16,63,21.0,42.0,96.0,63,52.0,44.0,29.0,25.0,23.0,21.0,21.0,21.0,27.0,38.0,38.0,57.0,74.0,89.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
82,Ludacris,What's Your Fantasy,256,Rap,2000-09-30,2000-12-16,Fall,11.0,22,89,21.0,68.0,47.0,89,83.0,63.0,55.0,49.0,40.0,33.0,32.0,30.0,25.0,22.0,21.0,24.0,24.0,24.0,27.0,25.0,34.0,32.0,35.0,41.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
83,Lil' Zane,Callin' Me,223,Rap,2000-07-29,2000-09-02,Summer,5.0,13,83,21.0,62.0,95.0,83,89.0,57.0,40.0,34.0,21.0,33.0,46.0,45.0,59.0,67.0,84.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
84,M2M,Don't Say You Love Me,221,Others,1999-11-20,2000-01-08,Fall,7.0,12,72,21.0,51.0,98.0,72,53.0,62.0,46.0,54.0,44.0,44.0,21.0,64.0,92.0,98.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
85,SoulDecision,Faded,205,Rock,2000-07-08,2000-09-09,Summer,9.0,24,94,22.0,72.0,50.0,94,90.0,81.0,64.0,56.0,43.0,35.0,27.0,25.0,22.0,22.0,27.0,27.0,27.0,31.0,31.0,30.0,34.0,31.0,34.0,34.0,38.0,45.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
86,"Brock, Chad",Yes!,202,Country,2000-04-08,2000-07-01,Spring,12.0,20,90,22.0,68.0,59.0,90,77.0,66.0,61.0,59.0,47.0,39.0,33.0,32.0,31.0,28.0,27.0,22.0,27.0,31.0,39.0,45.0,50.0,53.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
87,"Martin, Ricky",Shake Your Bon-Bon,188,Latin,1999-11-20,2000-02-12,Fall,12.0,18,74,22.0,52.0,93.0,74,66.0,52.0,39.0,39.0,39.0,39.0,46.0,47.0,54.0,91.0,28.0,22.0,33.0,46.0,70.0,87.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
88,Vertical Horizon,You're A God,225,Rock,2000-08-26,2000-11-04,Summer,10.0,21,64,23.0,41.0,49.0,64,55.0,43.0,41.0,37.0,31.0,30.0,29.0,28.0,26.0,23.0,23.0,25.0,32.0,32.0,37.0,37.0,41.0,46.0,48.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
89,Avant,Separated,253,Rock,2000-04-29,2000-05-20,Spring,3.0,20,62,23.0,39.0,51.0,62,32.0,30.0,23.0,26.0,30.0,35.0,32.0,32.0,25.0,23.0,28.0,27.0,29.0,27.0,31.0,31.0,33.0,40.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
90,"Rimes, LeAnn",Big Deal,183,Country,1999-10-16,2000-01-01,Fall,11.0,20,71,23.0,48.0,70.0,71,52.0,51.0,51.0,51.0,48.0,41.0,37.0,29.0,26.0,26.0,23.0,30.0,28.0,27.0,25.0,31.0,43.0,56.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
91,IMx,Stay The Night,217,Rap,1999-10-09,2000-01-08,Fall,13.0,20,84,23.0,61.0,78.0,84,61.0,45.0,43.0,40.0,38.0,36.0,31.0,34.0,34.0,40.0,36.0,36.0,23.0,41.0,62.0,70.0,71.0,79.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
92,Dr. Dre,The Next Episode,158,Rap,2000-05-27,2000-07-29,Spring,9.0,20,78,23.0,55.0,58.0,78,67.0,58.0,53.0,46.0,41.0,32.0,27.0,26.0,23.0,26.0,27.0,32.0,32.0,44.0,46.0,47.0,50.0,52.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
93,"Spears, Britney",Lucky,203,Rock,2000-08-12,2000-09-09,Summer,4.0,11,61,23.0,38.0,100.0,61,41.0,28.0,26.0,23.0,29.0,30.0,40.0,66.0,86.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
94,Savage Garden,Crash And Burn,281,Rock,2000-04-08,2000-05-27,Spring,7.0,20,75,24.0,51.0,87.0,75,58.0,51.0,36.0,33.0,31.0,26.0,24.0,24.0,29.0,34.0,39.0,46.0,47.0,48.0,49.0,58.0,63.0,73.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
95,Kandi,Don't Think I'm Not,230,Rock,2000-08-05,2000-10-07,Summer,9.0,24,66,24.0,42.0,41.0,66,66.0,66.0,61.0,49.0,42.0,36.0,33.0,28.0,24.0,26.0,26.0,28.0,29.0,27.0,31.0,31.0,26.0,25.0,25.0,30.0,40.0,36.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
96,Sammie,I Like It,249,Rock,2000-01-29,2000-04-15,Winter,11.0,20,85,24.0,61.0,89.0,85,68.0,58.0,44.0,40.0,33.0,30.0,29.0,37.0,29.0,29.0,24.0,36.0,46.0,52.0,61.0,83.0,93.0,91.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
97,Goo Goo Dolls,Broadway,234,Rock,2000-04-22,2000-07-01,Spring,10.0,20,74,24.0,50.0,87.0,74,58.0,53.0,42.0,35.0,31.0,29.0,25.0,29.0,26.0,24.0,33.0,46.0,48.0,57.0,62.0,74.0,82.0,85.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
98,"Moore, Mandy",I Wanna Be With You,252,Others,2000-06-17,2000-08-12,Summer,8.0,23,69,24.0,45.0,86.0,69,63.0,54.0,50.0,45.0,42.0,31.0,28.0,24.0,34.0,42.0,53.0,65.0,66.0,77.0,94.0,99.0,,,,,93.0,91.0,91.0,90.0,89.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
99,Dr. Dre,Forgot About Dre,222,Rap,2000-01-22,2000-03-25,Winter,9.0,20,75,25.0,50.0,82.0,75,55.0,47.0,36.0,36.0,30.0,30.0,31.0,26.0,25.0,25.0,26.0,26.0,28.0,34.0,47.0,58.0,68.0,80.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
100,D'Angelo,Untitled (How Does It Feel),430,Others,2000-01-22,2000-02-19,Winter,4.0,17,77,25.0,52.0,94.0,77,56.0,35.0,26.0,25.0,25.0,28.0,28.0,31.0,35.0,39.0,44.0,51.0,60.0,73.0,79.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
101,"Messina, Jo Dee",That's The Way,197,Country,2000-06-24,2000-08-26,Summer,9.0,20,78,25.0,53.0,59.0,78,67.0,63.0,54.0,50.0,44.0,38.0,30.0,27.0,25.0,31.0,28.0,30.0,28.0,32.0,35.0,48.0,46.0,51.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
102,Avant,My First Love,268,Rock,2000-11-04,2000-12-16,Fall,6.0,20,70,26.0,44.0,79.0,70,62.0,56.0,43.0,39.0,33.0,26.0,26.0,26.0,31.0,32.0,31.0,38.0,38.0,52.0,57.0,64.0,73.0,81.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
103,Son By Four,A Puro Dolor (Purest Of Pain),210,Latin,2000-04-08,2000-08-19,Spring,19.0,26,80,26.0,54.0,35.0,80,80.0,80.0,79.0,72.0,73.0,65.0,64.0,60.0,60.0,48.0,48.0,48.0,43.0,35.0,32.0,30.0,32.0,37.0,26.0,31.0,28.0,30.0,32.0,39.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
104,Da Brat,What'Chu Like,237,Rap,2000-06-03,2000-08-12,Summer,10.0,20,71,26.0,45.0,68.0,71,65.0,54.0,54.0,51.0,41.0,41.0,33.0,28.0,31.0,26.0,28.0,36.0,39.0,49.0,58.0,62.0,65.0,68.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
105,DMX,Party Up (Up In Here),225,Rap,2000-02-26,2000-04-22,Winter,8.0,21,88,27.0,61.0,43.0,88,74.0,62.0,56.0,49.0,44.0,38.0,32.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,33.0,35.0,42.0,44.0,46.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
106,"Dixie Chicks, The",Cowboy Take Me Away,291,Country,1999-11-27,2000-01-29,Fall,9.0,20,79,27.0,52.0,59.0,79,72.0,70.0,61.0,52.0,52.0,52.0,39.0,31.0,27.0,27.0,27.0,31.0,37.0,40.0,47.0,51.0,56.0,59.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
107,"McGraw, Tim",My Next Thirty Years,217,Country,2000-10-21,2000-12-16,Fall,8.0,20,73,27.0,46.0,62.0,73,62.0,56.0,52.0,46.0,40.0,36.0,31.0,27.0,27.0,28.0,40.0,33.0,33.0,39.0,40.0,48.0,53.0,58.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
108,"Tritt, Travis",Best Of Intentions,255,Country,2000-08-19,2000-12-02,Summer,15.0,22,97,27.0,70.0,48.0,97,86.0,79.0,70.0,63.0,56.0,50.0,48.0,51.0,38.0,33.0,31.0,28.0,28.0,28.0,27.0,29.0,31.0,37.0,45.0,49.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
109,Alice Deejay,Better Off Alone,410,Others,2000-04-08,2000-06-03,Spring,8.0,20,79,27.0,52.0,86.0,79,65.0,53.0,48.0,45.0,36.0,34.0,29.0,27.0,30.0,36.0,37.0,39.0,49.0,57.0,63.0,65.0,68.0,79.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
110,Hoku,Another Dumb Blonde,227,Others,2000-02-19,2000-04-08,Winter,7.0,14,69,27.0,42.0,100.0,69,49.0,49.0,34.0,34.0,34.0,30.0,27.0,36.0,41.0,53.0,56.0,80.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
111,"Houston, Whitney",I Learned From The Best,258,Rock,2000-02-19,2000-03-25,Winter,5.0,11,83,27.0,56.0,82.0,83,83.0,83.0,40.0,28.0,27.0,28.0,36.0,53.0,73.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
112,Counting Crows,Hanginaround,247,Rock,1999-11-06,2000-01-29,Fall,12.0,20,84,28.0,56.0,66.0,84,70.0,66.0,60.0,46.0,37.0,35.0,35.0,35.0,32.0,29.0,29.0,28.0,32.0,38.0,48.0,56.0,59.0,61.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
113,Mary Mary,Shackles (Praise You),192,Rock,2000-03-25,2000-05-13,Spring,7.0,20,90,28.0,62.0,94.0,90,76.0,72.0,54.0,43.0,37.0,34.0,28.0,33.0,30.0,31.0,39.0,43.0,53.0,60.0,70.0,71.0,76.0,84.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
114,"Carey, Mariah",Crybaby,319,Rock,2000-06-24,2000-06-24,Summer,0.0,7,28,28.0,-0.0,95.0,28,34.0,48.0,62.0,77.0,90.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
115,"McGraw, Tim",My Best Friend,273,Country,1999-11-27,2000-01-29,Fall,9.0,21,85,29.0,56.0,48.0,85,76.0,71.0,64.0,54.0,54.0,55.0,46.0,38.0,29.0,29.0,33.0,32.0,31.0,36.0,38.0,39.0,41.0,46.0,49.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
116,Sugar Ray,Falls Apart,255,Rock,2000-01-15,2000-02-19,Winter,5.0,20,70,29.0,41.0,100.0,70,64.0,54.0,40.0,34.0,29.0,29.0,32.0,32.0,37.0,47.0,49.0,52.0,60.0,76.0,80.0,89.0,97.0,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
117,Madonna,American Pie,270,Rock,2000-02-19,2000-03-04,Winter,2.0,9,43,29.0,14.0,88.0,43,35.0,29.0,29.0,33.0,32.0,40.0,58.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
118,"Jones, Donell",Where I Wanna Be,382,Rock,2000-04-22,2000-07-08,Spring,11.0,20,81,29.0,52.0,62.0,81,71.0,65.0,50.0,41.0,41.0,36.0,41.0,38.0,35.0,33.0,29.0,36.0,34.0,34.0,40.0,42.0,49.0,55.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
119,"Paisley, Brad",We Danced,225,Country,2000-10-14,2000-12-16,Fall,9.0,20,71,29.0,42.0,86.0,71,68.0,52.0,52.0,45.0,42.0,39.0,34.0,34.0,29.0,36.0,42.0,55.0,53.0,57.0,64.0,72.0,84.0,83.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
120,Lonestar,What About Now,210,Country,2000-06-10,2000-08-19,Summer,10.0,20,78,30.0,48.0,69.0,78,72.0,66.0,64.0,56.0,50.0,47.0,39.0,37.0,34.0,30.0,30.0,35.0,36.0,37.0,43.0,54.0,60.0,61.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
121,"Backstreet Boys, The",The One,226,Rock,2000-05-27,2000-07-01,Spring,5.0,15,58,30.0,28.0,100.0,58,50.0,43.0,37.0,31.0,30.0,39.0,47.0,55.0,61.0,76.0,90.0,93.0,93.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
122,"Keith, Toby",How Do You Like Me Now?!,209,Country,2000-01-29,2000-04-08,Winter,10.0,20,77,31.0,46.0,54.0,77,72.0,59.0,53.0,45.0,43.0,41.0,36.0,36.0,32.0,31.0,31.0,35.0,35.0,38.0,43.0,45.0,51.0,52.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
123,"Strait, George",The Best Day,204,Country,2000-01-29,2000-04-22,Winter,12.0,20,73,31.0,42.0,62.0,73,64.0,54.0,45.0,44.0,44.0,44.0,41.0,39.0,34.0,33.0,33.0,31.0,33.0,36.0,39.0,43.0,49.0,53.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
124,"Dixie Chicks, The",Without You,212,Country,2000-10-07,2000-12-23,Fall,11.0,20,80,31.0,49.0,54.0,80,70.0,63.0,56.0,50.0,49.0,48.0,46.0,41.0,40.0,35.0,31.0,33.0,44.0,36.0,35.0,37.0,43.0,51.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
125,Musiq,Just Friends (Sunny),242,Rap,2000-10-14,2000-12-30,Fall,11.0,20,89,31.0,58.0,68.0,89,83.0,65.0,55.0,54.0,54.0,52.0,44.0,41.0,34.0,32.0,31.0,35.0,34.0,41.0,41.0,48.0,54.0,58.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
126,"McEntire, Reba",What Do You Say,206,Country,1999-10-30,2000-01-29,Fall,13.0,20,88,31.0,57.0,71.0,88,76.0,71.0,71.0,69.0,63.0,56.0,51.0,46.0,46.0,53.0,43.0,33.0,31.0,34.0,41.0,50.0,60.0,68.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
127,"Braxton, Toni",Just Be A Man About It,250,Rock,2000-07-29,2000-09-02,Summer,5.0,20,76,32.0,44.0,90.0,76,69.0,51.0,42.0,37.0,32.0,32.0,34.0,34.0,38.0,50.0,53.0,53.0,63.0,65.0,72.0,79.0,84.0,89.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
128,"Iglesias, Enrique",Rhythm Divine,455,Latin,1999-12-04,2000-01-22,Winter,7.0,17,90,32.0,58.0,96.0,90,84.0,79.0,67.0,67.0,39.0,33.0,32.0,38.0,38.0,49.0,51.0,61.0,61.0,66.0,88.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
129,"Fabian, Lara",I Will Love Again,223,Others,2000-06-10,2000-08-12,Summer,9.0,17,91,32.0,59.0,96.0,91,80.0,75.0,61.0,60.0,52.0,45.0,40.0,36.0,32.0,37.0,45.0,68.0,80.0,80.0,89.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
130,Bon Jovi,It's My Life,224,Rock,2000-08-12,2000-09-30,Summer,7.0,20,64,33.0,31.0,87.0,64,58.0,51.0,51.0,48.0,45.0,36.0,33.0,34.0,34.0,35.0,34.0,39.0,44.0,51.0,58.0,61.0,84.0,85.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
131,"Evans, Sara",Born To Fly,336,Country,2000-10-21,2000-12-30,Fall,10.0,20,77,34.0,43.0,86.0,77,71.0,64.0,57.0,55.0,51.0,46.0,44.0,36.0,39.0,34.0,46.0,44.0,36.0,42.0,53.0,58.0,74.0,81.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
132,"Chesney, Kenny",I Lost It,234,Country,2000-10-21,2000-12-23,Fall,9.0,20,75,34.0,41.0,92.0,75,67.0,61.0,58.0,58.0,53.0,47.0,47.0,40.0,34.0,36.0,45.0,42.0,45.0,60.0,70.0,82.0,88.0,89.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
133,J-Shin,One Night Stand,274,Others,1999-12-25,2000-02-26,Winter,9.0,17,96,34.0,62.0,99.0,96,96.0,69.0,74.0,72.0,62.0,49.0,45.0,38.0,34.0,38.0,45.0,47.0,58.0,68.0,88.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
134,Eve,Love Is Blind,231,Rap,2000-01-08,2000-02-19,Winter,6.0,16,94,34.0,60.0,99.0,94,91.0,57.0,46.0,46.0,40.0,34.0,39.0,42.0,46.0,50.0,59.0,66.0,78.0,87.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
135,Aaliyah,I Don't Wanna,255,Rock,2000-01-29,2000-03-04,Winter,5.0,20,84,35.0,49.0,86.0,84,62.0,51.0,41.0,38.0,35.0,35.0,38.0,38.0,36.0,37.0,37.0,38.0,49.0,61.0,63.0,62.0,67.0,83.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
136,"Montgomery, John Michael",The Little Girl,232,Country,2000-09-09,2000-10-28,Fall,7.0,20,81,35.0,46.0,74.0,81,67.0,64.0,56.0,45.0,41.0,41.0,35.0,35.0,38.0,37.0,42.0,45.0,50.0,57.0,63.0,62.0,83.0,74.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
137,"Carter, Aaron",Aaron's Party (Come Get It),203,Others,2000-08-26,2000-09-16,Summer,3.0,15,99,35.0,64.0,100.0,99,75.0,57.0,35.0,35.0,37.0,43.0,79.0,51.0,55.0,67.0,83.0,86.0,92.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
138,"Vassar, Phil",Just Another Day In Paradise,234,Country,2000-09-30,2000-12-02,Fall,9.0,20,81,35.0,46.0,79.0,81,81.0,76.0,67.0,53.0,46.0,43.0,38.0,36.0,35.0,43.0,41.0,46.0,51.0,62.0,58.0,63.0,70.0,74.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
139,Ice Cube,You Can Do It,260,Rap,1999-12-04,2000-01-15,Winter,6.0,12,86,35.0,51.0,89.0,86,66.0,50.0,42.0,42.0,40.0,35.0,46.0,45.0,54.0,73.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
